"Index","Quantity","Part Number","Manufacturer Part Number","Description","Customer Reference","Available","Backorder","Unit Price","Extended Price USD"
"1","1","AP63205WU-7DICT-ND","AP63205WU-7","IC REG BUCK 5V 2A TSOT23-6","","1","0","1.38000","1.38"
"2","1","497-19479-1-ND","LSM6DSRTR","INEMO INERTIAL MODULE: 3D ACCELE","","1","0","4.11000","4.11"
"3","1","497-13903-1-ND","H3LIS331DLTR","ACCEL 100-400G I2C/SPI 16TFLGA","","1","0","11.04000","11.04"
"4","1","2434-145060-3-ND","145060-3","PRECISION TWEEZER SET","","1","0","10.00000","10.00"
"5","1","732-10955-ND","691137710002","TERM BLK 2POS SIDE ENTRY 5MM PCB","","1","0","0.36000","0.36"
"6","1","1276-6455-1-ND","CL21A106KOQNNNG","CAP CER 10UF 16V X5R 0805","C8","1","0","0.08000","0.08"
"7","3","1276-1002-1-ND","CL05B104KP5NNNC","CAP CER 0.1UF 10V X7R 0402","C5, C6, C7","3","0","0.08000","0.24"
"8","2","1276-1274-1-ND","CL10A226MP8NUNE","CAP CER 22UF 10V X5R 0603","C3, C4","2","0","0.10000","0.20"
"9","1","490-13248-1-ND","GRM188R6YA106MA73D","CAP CER 10UF 35V X5R 0603","C1","1","0","0.24000","0.24"
"10","1","535-12322-1-ND","ASPI-4030S-4R7M-T","FIXED IND 4.7UH 2A 60 MOHM SMD","L1","1","0","0.25000","0.25"
"11","1","490-10430-1-ND","GRM033R6YA104KE14D","CAP CER 0.1UF 35V X5R 0201","C2","1","0","0.10000","0.10"
"12","1","SAM12324-ND","TSW-106-08-T-T-RA","CONN HEADER R/A 18POS 2.54MM","","1","0","1.34000","1.34"
