Time (s)	Throttle (u)	Thrust (N)
0.000	100	0.076611
0.009	100	0.075874
0.022	100	0.069951
0.033	800	0.091518
0.045	800	0.376507
0.057	800	0.898772
0.069	800	1.462203
0.080	800	1.942519
0.091	800	2.304835
0.104	800	2.563900
0.115	800	2.748008
0.127	800	2.873876
0.139	800	2.971181
0.151	800	3.042272
0.162	800	3.081226
0.174	800	3.102077
0.186	800	3.118660
0.198	800	3.137522
0.209	800	3.141232
0.221	800	3.146462
0.233	800	3.151155
0.245	800	3.148294
0.256	800	3.148160
0.269	800	3.149881
0.280	800	3.153390
0.292	800	3.156876
0.303	800	3.156228
0.316	800	3.153367
0.327	800	3.151803
0.339	800	3.143869
0.350	800	3.142774
0.363	800	3.139533
0.374	800	3.142506
0.385	800	3.136628
0.398	800	3.136092
0.409	800	3.139422
0.421	800	3.138550
0.432	800	3.140428
0.445	800	3.145903
0.456	800	3.145322
0.468	800	3.140450
0.480	800	3.143422
0.492	800	3.139400
0.503	800	3.134259
0.515	800	3.125253
0.527	800	3.130035
0.539	800	3.133611
0.550	800	3.132650
0.562	800	3.133477
0.574	800	3.133902
0.586	800	3.127197
0.597	800	3.119174
0.610	800	3.126482
0.621	800	3.123867
0.633	800	3.119822
0.644	800	3.129477
0.657	800	3.125119
0.668	800	3.123510
0.679	800	3.124068
0.691	800	3.122213
0.703	800	3.119867
0.715	800	3.119375
0.726	800	3.121901
0.739	800	3.126080
0.750	800	3.118794
0.762	800	3.113252
0.773	800	3.121230
0.786	800	3.125320
0.797	800	3.124292
0.809	800	3.129253
0.821	800	3.127264
0.833	800	3.113631
0.844	800	3.113945
0.856	800	3.112760
0.868	800	3.115129
0.880	800	3.123465
0.891	800	3.120448
0.903	800	3.114212
0.915	800	3.115554
0.927	800	3.109497
0.938	800	3.107352
0.951	800	3.108402
0.962	800	3.104558
0.973	800	3.104469
0.985	800	3.108782
0.997	800	3.109542
1.009	800	3.105161
1.020	800	3.104357
1.032	800	3.095574
1.044	800	3.100267
1.056	800	3.095932
