Time (s)	Throttle (u)	Thrust (N)
0.0000	201	-0.457409
0.0060	201	-0.458705
0.0170	201	-0.447978
0.0290	201	-0.419707
0.0410	201	-0.384463
0.0530	201	-0.357846
0.0640	201	-0.328301
0.0760	201	-0.306824
0.0880	201	-0.284118
0.0990	201	-0.268250
0.1110	201	-0.260741
0.1220	201	-0.255355
0.1350	201	-0.255109
0.1460	201	-0.255288
0.1580	201	-0.252271
0.1700	201	-0.251690
0.1820	201	-0.256383
0.1930	201	-0.248494
0.2050	201	-0.239331
0.2170	201	-0.242840
0.2290	201	-0.245298
0.2400	201	-0.246975
0.2520	201	-0.244762
0.2640	201	-0.244918
0.2760	201	-0.244360
0.2870	202	-0.246885
0.3000	202	-0.251578
0.3110	202	-0.253433
0.3230	202	-0.256160
0.3340	203	-0.247556
0.3470	203	-0.250953
0.3580	203	-0.259490
0.3690	204	-0.252741
0.3820	204	-0.248293
0.3930	205	-0.245544
0.4050	205	-0.243913
0.4160	206	-0.243265
0.4290	206	-0.243980
0.4400	207	-0.246215
0.4520	207	-0.244606
0.4630	208	-0.238795
0.4760	209	-0.235130
0.4870	210	-0.232582
0.4990	211	-0.233141
0.5110	212	-0.231532
0.5230	213	-0.226526
0.5340	214	-0.225945
0.5460	215	-0.227464
0.5580	216	-0.225520
0.5700	218	-0.225989
0.5810	219	-0.219419
0.5930	221	-0.213653
0.6050	222	-0.209272
0.6160	224	-0.207015
0.6280	226	-0.207932
0.6400	228	-0.202769
0.6520	230	-0.192913
0.6630	232	-0.190254
0.6750	234	-0.189784
0.6870	236	-0.177739
0.6990	239	-0.176062
0.7100	241	-0.172241
0.7230	244	-0.159860
0.7340	247	-0.153446
0.7460	250	-0.147188
0.7570	253	-0.132997
0.7700	256	-0.135075
0.7810	260	-0.126717
0.7930	263	-0.117665
0.8040	267	-0.108458
0.8170	270	-0.100479
0.8280	274	-0.089283
0.8400	279	-0.075069
0.8520	283	-0.060632
0.8640	287	-0.048742
0.8750	292	-0.034037
0.8860	297	-0.013856
0.8990	302	-0.004894
0.9100	307	0.010236
0.9220	312	0.018080
0.9330	317	0.037926
0.9460	323	0.059760
0.9570	329	0.080790
0.9690	335	0.102737
0.9810	341	0.119252
0.9930	347	0.137824
1.0040	354	0.161357
1.0160	361	0.194433
1.0280	368	0.215888
1.0400	375	0.242929
1.0510	382	0.264786
1.0630	389	0.303919
1.0750	397	0.340325
1.0870	405	0.365579
1.0980	413	0.393403
1.1110	421	0.421160
1.1220	430	0.451464
1.1330	438	0.483691
1.1450	447	0.514979
1.1570	456	0.544546
1.1690	465	0.583858
1.1800	474	0.629002
1.1930	484	0.664938
1.2040	494	0.704741
1.2160	503	0.747092
1.2270	513	0.783319
1.2400	523	0.824910
1.2510	534	0.867953
1.2630	544	0.906594
1.2740	555	0.952342
